# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-200.27301941	-0.01959987
-200.23966300	-0.01974991
-200.20630659	-0.02001683
-200.17295018	-0.02063252
-200.13959377	-0.02123624
-200.10623736	-0.02149768
-200.07288095	-0.02169699
-200.03952454	-0.02179225
-200.00616813	-0.02287973
-199.97281172	-0.02272510
-199.93945531	-0.02319151
-199.90609891	-0.02320800
-199.87274250	-0.02341034
-199.83938609	-0.02325654
-199.80602968	-0.02305142
-199.77267327	-0.02286039
-199.73931686	-0.02288201
-199.70596045	-0.02243761
-199.67260404	-0.02222084
-199.63924763	-0.02124115
-199.60589122	-0.02041601
-199.57253481	-0.01953605
-199.53917840	-0.01897256
-199.50582199	-0.01795291
-199.47246558	-0.01668915
-199.43910917	-0.01611686
-199.40575276	-0.01493591
-199.37239635	-0.01377047
-199.33903994	-0.01232624
-199.30568353	-0.01128527
-199.27232712	-0.01012993
-199.23897071	-0.00890192
-199.20561431	-0.00773759
-199.17225790	-0.00668522
-199.13890149	-0.00527620
-199.10554508	-0.00439369
-199.07218867	-0.00301877
-199.03883226	-0.00249256
-199.00547585	-0.00134459
-198.97211944	-0.00057079
-198.93876303	0.00016541
-198.90540662	0.00075167
-198.87205021	0.00129992
-198.83869380	0.00209497
-198.80533739	0.00185112
-198.77198098	0.00204451
-198.73862457	0.00215141
-198.70526816	0.00242188
-198.67191175	0.00235888
-198.63855534	0.00241097
-198.60519893	0.00205409
-198.57184252	0.00172079
-198.53848611	0.00153638
-198.50512971	0.00099839
-198.47177330	0.00054889
-198.43841689	-0.00020795
-198.40506048	-0.00083407
-198.37170407	-0.00123928
-198.33834766	-0.00205671
-198.30499125	-0.00238708
-198.27163484	-0.00304998
-198.23827843	-0.00341232
-198.20492202	-0.00401988
-198.17156561	-0.00429399
-198.13820920	-0.00447398
-198.10485279	-0.00502002
-198.07149638	-0.00549071
-198.03813997	-0.00586940
-198.00478356	-0.00606789
-197.97142715	-0.00645060
-197.93807074	-0.00676751
-197.90471433	-0.00666259
-197.87135792	-0.00722729
-197.83800152	-0.00716868
-197.80464511	-0.00755767
-197.77128870	-0.00772160
-197.73793229	-0.00772655
-197.70457588	-0.00751141
-197.67121947	-0.00749588
-197.63786306	-0.00744117
-197.60450665	-0.00722382
-197.57115024	-0.00697915
-197.53779383	-0.00635820
-197.50443742	-0.00623792
-197.47108101	-0.00575361
-197.43772460	-0.00546422
-197.40436819	-0.00454394
-197.37101178	-0.00418993
-197.33765537	-0.00330147
-197.30429896	-0.00327516
-197.27094255	-0.00266046
-197.23758614	-0.00239948
-197.20422973	-0.00212413
-197.17087332	-0.00174355
-197.13751692	-0.00208912
-197.10416051	-0.00190447
-197.07080410	-0.00220322
-197.03744769	-0.00219315
-197.00409128	-0.00260978
-196.97073487	-0.00266381
-196.93737846	-0.00307301
-196.90402205	-0.00358521
-196.87066564	-0.00397169
-196.83730923	-0.00444729
-196.80395282	-0.00475815
-196.77059641	-0.00489905
-196.73724000	-0.00527620
-196.70388359	-0.00546318
-196.67052718	-0.00585744
-196.63717077	-0.00595450
-196.60381436	-0.00619013
-196.57045795	-0.00630667
-196.53710154	-0.00623016
-196.50374513	-0.00671492
-196.47038872	-0.00649033
-196.43703232	-0.00626710
-196.40367591	-0.00625874
-196.37031950	-0.00598257
-196.33696309	-0.00498011
-196.30360668	-0.00440718
-196.27025027	-0.00380668
-196.23689386	-0.00307399
-196.20353745	-0.00238866
-196.17018104	-0.00141282
-196.13682463	-0.00048726
-196.10346822	0.00011788
-196.07011181	0.00075846
-196.03675540	0.00199323
-196.00339899	0.00261168
-195.97004258	0.00353890
-195.93668617	0.00382406
-195.90332976	0.00440367
-195.86997335	0.00528313
-195.83661694	0.00517821
-195.80326053	0.00561195
-195.76990412	0.00579607
-195.73654772	0.00610901
-195.70319131	0.00625864
-195.66983490	0.00607521
-195.63647849	0.00632474
-195.60312208	0.00668325
-195.56976567	0.00617529
-195.53640926	0.00621156
-195.50305285	0.00610245
-195.46969644	0.00603289
-195.43634003	0.00586433
-195.40298362	0.00583790
-195.36962721	0.00578333
-195.33627080	0.00560797
-195.30291439	0.00529615
-195.26955798	0.00507602
-195.23620157	0.00470657
-195.20284516	0.00441007
-195.16948875	0.00399276
-195.13613234	0.00369740
-195.10277593	0.00319648
-195.06941952	0.00289877
-195.03606312	0.00255054
-195.00270671	0.00229444
-194.96935030	0.00203195
-194.93599389	0.00131837
-194.90263748	0.00128247
-194.86928107	0.00086249
-194.83592466	0.00027467
-194.80256825	0.00022817
-194.76921184	-0.00010887
-194.73585543	-0.00047517
-194.70249902	-0.00090340
-194.66914261	-0.00115329
-194.63578620	-0.00153872
-194.60242979	-0.00174062
-194.56907338	-0.00164422
-194.53571697	-0.00168878
-194.50236056	-0.00202591
-194.46900415	-0.00209446
-194.43564774	-0.00233501
-194.40229133	-0.00239922
-194.36893492	-0.00250620
-194.33557852	-0.00228808
-194.30222211	-0.00265954
-194.26886570	-0.00243684
-194.23550929	-0.00263602
-194.20215288	-0.00257587
-194.16879647	-0.00240099
-194.13544006	-0.00266144
-194.10208365	-0.00284063
-194.06872724	-0.00240818
-194.03537083	-0.00212605
-194.00201442	-0.00210166
-193.96865801	-0.00207383
-193.93530160	-0.00202420
-193.90194519	-0.00172786
-193.86858878	-0.00163110
-193.83523237	-0.00113234
-193.80187596	-0.00130086
-193.76851955	-0.00058147
-193.73516314	-0.00081000
-193.70180673	-0.00016874
-193.66845033	0.00008101
-193.63509392	-0.00007397
-193.60173751	0.00047229
-193.56838110	0.00054295
-193.53502469	0.00074325
-193.50166828	0.00081015
-193.46831187	0.00071062
-193.43495546	0.00086443
-193.40159905	0.00103484
-193.36824264	0.00087591
-193.33488623	0.00089570
-193.30152982	0.00071136
-193.26817341	0.00037707
-193.23481700	0.00047278
-193.20146059	0.00010679
-193.16810418	-0.00009660
-193.13474777	-0.00040775
-193.10139136	-0.00060828
-193.06803495	-0.00116010
-193.03467854	-0.00153763
-193.00132213	-0.00181625
-192.96796573	-0.00228714
-192.93460932	-0.00254247
-192.90125291	-0.00292470
-192.86789650	-0.00321515
-192.83454009	-0.00338554
