# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-188.59827608	-0.00055219
-188.56491967	-0.00021296
-188.53156326	-0.00052747
-188.49820685	-0.00146962
-188.46485044	-0.00331016
-188.43149403	-0.00466202
-188.39813762	-0.00614930
-188.36478121	-0.00697814
-188.33142480	-0.00654544
-188.29806839	-0.00500287
-188.26471198	-0.00260650
-188.23135557	0.00037850
-188.19799916	0.00347270
-188.16464275	0.00607367
-188.13128634	0.00814092
-188.09792994	0.00942152
-188.06457353	0.00935211
-188.03121712	0.00769651
-187.99786071	0.00457008
-187.96450430	0.00060601
-187.93114789	-0.00441004
-187.89779148	-0.00942887
-187.86443507	-0.01355724
-187.83107866	-0.01681602
-187.79772225	-0.01829041
-187.76436584	-0.01921537
-187.73100943	-0.01908745
-187.69765302	-0.01912573
-187.66429661	-0.01875310
-187.63094020	-0.01788188
-187.59758379	-0.01588310
-187.56422738	-0.01276985
-187.53087097	-0.00941886
-187.49751456	-0.00596642
-187.46415815	-0.00428475
-187.43080174	-0.00444037
-187.39744534	-0.00514129
-187.36408893	-0.00702252
-187.33073252	-0.00923739
-187.29737611	-0.01074617
-187.26401970	-0.01114222
-187.23066329	-0.01036345
-187.19730688	-0.00925072
-187.16395047	-0.00691311
-187.13059406	-0.00410776
-187.09723765	-0.00119264
-187.06388124	0.00187069
-187.03052483	0.00487833
-186.99716842	0.00768919
